reviewText,summary,unixReviewTime,reviewTime,rating,label
We enjoy this as a family. We enjoy the challenge of competing against the judges. We also like learning how to mix ingredients to make what seems like taste meals.,intense,1388793600,"01 4, 2014",5,1
This series demonstrated the risks and hard work of the truckers that bid for their work online.  It was painful to see the sacrifices and trading of one's health in this profession.  The intrinsic rewards of getting the job done were significant though.,Anything it takes to get the job done,1385942400,"12 2, 2013",5,1
We love Curious George. He is the cutest little monkey and always fixes his mistakes. All you need is love to make a family. And George proves that.,Love,1392249600,"02 13, 2014",5,1
"this is definitenley not a show for anyone sensitive,this seasons storyline has been a bit more dark and intense a very edge of your seat type of season.It didnt dissapoint in any way which was s somthing i was afraid of after how good season one turned out to be,but this picked right up with that level of intensity,and a storyline leaving you not just wanting,but needing to know what happend next. A must reccomend for AHS fans. Id also reccomend this to anyone who enjoyed the Kingdom Hospital series",one of the best things on tv,1357948800,"01 12, 2013",5,1
It was well written and very interesting. I liked it a lot and would recommend it.  The ending was a surprise.,Loved it,1392249600,"02 13, 2014",5,1
Excellent recap of the development of weapons and applications and howmany modern products were affected by use during warfare.,Solid Documentary,1404172800,"07 1, 2014",5,1
"It used to be that the only European films that could succeed in the US market were war films being able to pull in the ticket sales and the Academy Awards.  Examples include Battle of Algiers, Battleship Potemkin, Das Boot, and Lawrence of Arabia.  More recently, European filmmakers have been successful in other genres, such as romance (A Very Long Engagement), crime (Stieg Larsson's Millenium trilogy, Layer Cake), fantasy (Pan's Labyrinth) and comedy (Waking Ned Devine).  This success has been geographical in spread, starting with movies from the UK, France and Spain, and spreading West to the rest of Europe.  Finally, Scandinavian films are catching up.  Starting with the Swedish Millenium trilogy, followed by the cult horror cljazzic, Let The Right One In, and last year's Finnish Rare Exports, 2011 saw the release of the Norwegian film Trollhunter.  Part comedy, part horror, and part fantasy, this film follows the mockumentary style of the Blair Witch Project, though it is less scary and less shaky.  This feature length film follows a supposed trollhunter, an employee of Norway's government, who is jazzigned to track down and kill trolls that have left their refuge.  For those willing to put up with subtitles, this is a very impressive film.  The special effects are quite good, though this is helped by the fact that all the trolls are seen at night, which allows the filmmakers space in leaving out visual details such as skin texture, hair movement, etc...  The overall story line is quite original, and the movie is quite enjoyable.",One more great film from Europe,1317686400,"10 4, 2011",4,1
"My son and I decided to try Teen Wolf and see if it was any good, we were hooked by the first episode and now on the 3rd Season and find it still a good show to watch.  I would not let young kids watch.  Love the characters, especially Stilles and hunky Derek.  The show has violence of course were dealing with Werewolves here, but not too gory or gross.  We watch while eating lunch.There is also comic relief in each episode.  Hope the writers keep up the fast pace and interesting storylines.",Love this show,1400284800,"05 17, 2014",5,1
"The Pilot wasn't great, though it certainly had the credibility for a long running show. The biggest mystery leaves us empty at the end of the pilot, and the frequent F bombs are unnecessary to the plot. Lots of rough characters, but the animals that come in with guns blazing have no idea what they waste when they blow through the gates. A person or group could have survived for ages in a mansion like that. I think of Bill Murray's mansion in Zombieland.",this was a story I would follow,1393200000,"02 24, 2014",4,1
"By now those who watch know who the judges are. But i will get to that shortly. The show is as they say ""the biggest cooking contest in the world today"".  Hell's Kitchen is in it's 11th season, and now casting for its 12th season. So I don't believe yelling or screaming has anything to do with whether it is a good show or worth watching or not.  In this country, they are so money hungry (tv stations), they take shows off just after 11 episodes no matter how great the show or actors (Monday Mornings, TNT).  The format is the same. You have Joe, Graham, and who is considered the best chef in the world today, Gordon Ramsay. Gordon presently has 21 Restaurants and 15 Stars if google was correct.The chefs seem to be better.  They seem to have really went for the throat in this season, getting rid of people who they thought were not meant for the contest even while they were still cooking in a challenge. Joe still getting angry and throwing out the people's plates right into the garbage.  Gordon, while not yelling, is as insulting as ever and it's great. Graham is just a really nice and great guy who just tells it as it is.The food seems to be more complex early in this season. And from the commercials, it seems they will have many more interesting challenges. The only thing that is very predictable is that they hardly ever give Graham the final word on who stays. Yes on some. But what they do is have for example, Joe says No, then Graham you just know is going to say yes to the contestant, so its up to Gordon. Then it goes the other way. Gordon says yes, Graham says no, then its up to Joe. I wish they would give more decision making to Graham.  He is young and and on fire with two Stars now, the second given for his take on Pea Soup, and he cooked for the president of the United States, so he is climbing fast as a chef. Not the star of the show, which is Gordon Ramsay himself, but He is one of the youngest best chef's in the country today. It was a great job for the casting.  They really needed Graham for this show to give it a ease, and some humor.I think if you have liked this show in the past you will really love this season. Everything just seems to be more fast paced, food more complex, and it seems to me that we are left with very good home chef's early in the season. Which i think will make for an interesting 4th season, and with all the shows Gordon has and the years his shows have been on, it's obvious the country loves the show and for good reasons.  enjoy and have fun with it...",Still Getting Better,1370217600,"06 3, 2013",5,1
"Even with the changes that happened in Dr. Dani's life this season, I am still a fan of the show.  And, John Stamos is pretty good eye candy...",I love this show!,1390348800,"01 22, 2014",5,1
"What a provocative show.  From the pilot forward this has been an addiction to me.  Everything about this show is outstanding, the acting, the writing, the photography, everything.There's nothing like this show.  Some of the finest television I've ever seen.",I'm addicted,1342656000,"07 19, 2012",5,1
"Seldom does a film or tv version of a book make me want to read the book. The few exceptions are a few BBC productions of detective novels, including the Inspector Morse series. So this pilot was surprising to me, as now I want to read everything Connelly has written.This pilot creates a singular universe that it draws you into, and that's Bosch's universe. The complexity of his character comes across quite well and the slow unfolding of both the trial and the crime Harry is investigating is tantalizing. I will definitely watch this series, and the point at which this ended has me wishing it were an hour longer than it was. Its pace is perfect (some might call it slow, but they are likely not those who pay attention to the subtleties of a character ), and the lead made it easy to imagine what was going through Harry Bosch's mind. Those &#34;slow&#34; scenes always had a very satisfying payoff. I'm a fan!",Have not read the series but LOVED the pilot. And want more.,1393459200,"02 27, 2014",5,1
"I missed the series when originally shown, so I have been catching up through instant viewing on Amazon. I watch...let's just say TOO many...of the housewives franchises. I have to say though that this is the most gripping. I like that certainly at the start, all the housewives were TRUE housewives. I also like how the men are featured just as much as the women really; it makes for a more well rounded show. Instead of just the women going on trips together, the husbands...and even grown children...come along too. One thing I will echo, is that the family drama between Teresa, Joe and Melissa has now been a bit played. Perhaps with the casting shake up, the show will have more to offer from season six forward.",Addicted,1395360000,"03 21, 2014",4,1
