reviewText,summary,unixReviewTime,reviewTime
"I love this show and look forward to it whenever it comes on! I can honestly say every episode makes me laugh, usyally many times throughout it!!  By purchasing the season pjazz, I will never miss an episode when my cable box decides to act up....lol!  I love having all of my favorite shows on my Kindle to watch at anytime I choose!",Addicted to Modern Family!,1380240000,"09 27, 2013"
The cast is great and perfectly cast. I watched the entire 1st season in a week and the second season the following week.,The Best,1391126400,"01 31, 2014"
This is way to sexually explicit for a young person to act.  I guess the world has changed so that this is normal behavior in some homes.  To bad.,To Provocative,1375228800,"07 31, 2013"
"January is always the worst month of the year for an avid moviegoer like thornhill. The studios are too busy promoting the wide releases of their Oscar hopefuls to concentrate on new films they have any hope for. As a result, January is a dumping ground for bad films they can't wait to write off. But Big Hollywood still hopes they can bilk an unsuspecting public out of a few million dollars before the release ends up in streaming and free cable hell.Because &#34;That Awkward Moment&#34; is a quote unquote romantic comedy and it is being released two weeks before Valentine's Day, I held out some hope for it. That, and the fact Zac Efron seems to be enjoying a bit of a renaissance since leaving rehab &#8211; he is in a lot films &#8211; seemed to indicate the film might be better.But &#34;That Awkward Moment&#34; is full of, well, awkward moments that were funny the first five times we saw the same jokes in other films and television shows. Now, one hundred times later, the jokes are boring and routine. These jokes are now so familiar they have been relegated to bad television sitcoms.Zac Efron and Miles Teller play Jason and Daniel, co workers and best friends, who meet regularly with Mikey (Michael P. Jordan, &#34;Fruitvale Station&#34;), a doctor who discovers his wife is cheating on him   to discuss girls, dating and their conquests. They talk about every part of their sexual conquests, their penises, their bodily functions, etc. They talk a lot about things I find it hard to believe three straight guys pursuing relationships with females would talk about.Eventually, they make a pact to stay single as long as Mikey is single. Given the predictability of THIS quote unquote romantic comedy, you already know what that means; one or more of the guys will immediately fall in love with a girl and try to hide it from the others. Strangely, the filmmakers views these relationships as an excuse for the three guys to get together and talk more. The story doesn't really shift to the new male female relationships. Essentially, this is a quote unquote romantic comedy about three guys.That might work, if the film were in better creative hands. Written and directed by Tom Gormicon, whose only other credit is &#34;Movie 43&#34; &#8211; the worst film I have ever seen &#8211; nothing in &#34;That Awkward Moment&#34; is original or seems remotely real or true. That's too bad because you get the sense the filmmakers are trying for so much more. Which makes &#34;Moment&#34; an even bigger disappointment.And it's too bad for Zac Efron who is a really handsome, really terrible actor &#8211; he has the looks of a matinee idol but he just can't act. When he works with more talented directors, he does a better job. But in &#34;Moment&#34;, his character just seems like a jerk, the whole time, and never really changes.Miles Teller is basically the comic relief and Michael P. Jordan plays the 'real' member of the trio. He is going through a real life situation. But they don't, or can't, overcome the clich&eacute;d story, bad direction and stilted acting of the lead.Imogen Poots plays Ellie, the object of Jason's affections. She must be the next &#34;It&#34; girl, because she is in a lot of movies coming out this year. She doesn't earn that title with this performance. She is good, OK, acceptable, but because she has to play against Efron, her performance fails to register.&#34;That Awkward Moment&#34; is bad. And it will surely end up on a lot of &#34;Worst of 2014&#34; lists.",That BAD Moment,1394582400,"03 12, 2014"
I really enjoyed seeing & hearing about the history of these beautiful British palaces & the families who lived there.,I love historical sites!,1403395200,"06 22, 2014"
"Season 3 of Being Human (US) is my favorite and hits its pace as a show with a fully developed set of characters and story line.  With 13 episode seasons, character development has become a part of jumping on in on a moving story for all shows in which we have 13 episodes to know the characters, like dislike them, and get vested in the story.  It took me a while but by season 3 I've settled into the mix of odd characters trying to live normal lives even though they are far from it.  They have solidified as a cast of characters that have bonded through joining together to help each out enough now that the them against the world theme sticks and allows for more humor to slip in as they get caught in some situations that could only be funny in the context of this show.  At this point I am hooked and am pulling for each of the characters and enjoy the show in how each supports each other in a unique way as they fail their way to figuring out how to make the odd situation they have put themselves in work.  It doesn't really, but that is what makes it interesting as they struggle through their attempts to be normal though they are far from it.  It took a while for it to all come together but season 3 achieves what was attempted all along as this group of misfit friends figure out how to live in the world and somehow get by even though they miss work half the time and are constantly pulling each other out of unique problems only a this group of monsters could be in.  Unique entertainment in an area of with a lot of competition but none like Being Human achieves!",Season 3 Being Human hits its stride,1404950400,"07 10, 2014"
"As a viewer, I personally feel I can only asked to suspend disbelief through so many layers of the narrative.  I&#8217;m OK with quirky characters.  I&#8217;m OK with pretentious teenagers.  I&#8217;m OK with movie families that don&#8217;t quite seem grounded in reality but are &#8216;close enough&#8217; for purposes of the story.  But when you fold something like full blown dementia into the tale I tend to draw a line.  It isn&#8217;t because I don&#8217;t like stories that explore a curious mental state; I find them fascinating.  Rather, I believe these tales need a very strong grounding in honesty for them to be relatable; if they&#8217;re not, then it all falls down like a cheaply built house of cards.(NOTE: The following review will contain minor spoilers necessary solely for the discussion of plot and or characters.  If you&#8217;re the kind of reader who prefers a review entirely spoiler free, then I&#8217;d encourage you to skip down to the last three paragraphs for my final jazzessment.  If, however, you&#8217;re accepting of a few modest hints at &#8216;things to come,&#8217; then read on &#8230;)Emanuel (played by a comely Kaya Scodelario) is hardly your ordinary teenager.  Her mother died giving birth to her, and that grim reality has colored how she sees the greater world at large.  At work as a clerk in the town drug store, she&#8217;s smitten with the idea of constantly antagonizing her colleagues; and, at home, she&#8217;s always doing the same to her father (Alfred Molina) and stepmother (Frances O&#8217;Connor).  However, a mysterious new neighbor named Linda (Jessica Biel) suddenly presents her with an unusual opportunity to confront the questions of her own quirky mental state while perhaps helping to save the woman from a devastating future.I couldn&#8217;t begin to recount all of the problems I had with THE TRUTH ABOUT EMANUEL in any concise fashion, but I will say this: writer director Francesca Gregorini did an impressive job chucking everything put the kitchen sink in here.  (Oh, yeah: there WAS a scene with the kitchen sink!)  There are many film influences at work here.  There&#8217;s also a willingness to discuss some very uncomfortable subjects like sanity and post partum depression.  Still, despite the overabundance of psychological moodiness, TRUTH feels surprisingly empty.  Its stylish visuals only add up to a revelation that doesn&#8217;t so much involve Emanuel as it does Linda.  Liking the characters but hating their predicament as much as I did was the only reason I hung with this thing for its largely uneventful 96 minutes.As best as I can surmise, it would seem that Gregorini believes in a world wherein two wrongs make a right.  Both of these lead women &#8211; Scodelario and Biel &#8211; are mentally troubled, far more than one jazzumes is the norm; but, together, they&#8217;re destined for a cure.  For the life of me, I can&#8217;t see how two mentally askew women (of this magnitude) is supposed to come up with a single sane mind, but I think that&#8217;s what the final scene intended audiences to take away from this.  My experience in reality has been that two misfits holed up together generally is not a good practice, but, then again, I don&#8217;t live in the movies.  I just write about them.For the life of me I can&#8217;t quite figure out what the story meant to say about Linda&#8217;s character as an individual.  Was her choice of denying reality the right thing to do?  Why not?  It worked for her.  Isn&#8217;t that what message Emanuel delivers by helping her finally put it all to rest?  Why do that?  Linda wasn&#8217;t hurting anyone except herself, unlike Emanuel who wanted to constantly irk everyone around her.  Is there union somehow what&#8217;s meant to be, or is it merely a film&#8217;s conceit?Assuming that the director (who also produced, too) makes most if not all of the decisions involving a film&#8217;s many elements, Gregorini chose to have Biel portray Linda as a kinda sorta New Age flunky with strong hints of a femme fatale.  (???)  She gives the woman a devilishly mild sexual undercurrent that still confuses me.  She dresses Linda in some weird hippie stylings &#8211; well, so long as, say, Banana Republic gets into lounge hippie wear &#8211; and adorns her house with elegant, high end furnishings.  None of the pieces to this puzzle added up to me, nor did they fact that she apparently has been on the run for as long as she has been, so how was her personal story even probable much less possible?When I don&#8217;t know what I&#8217;m supposed to make of all of the individual pieces, then all I&#8217;m left with is the created whole &#8211; and the whole?  I just couldn&#8217;t believe nor accept its simple final message.  Without mincing words, I think the subject matter explored here was very important, very relevant.  It&#8217;s this particular story that just felt more than a bit lost on me.THE TRUTH ABOUT EMANUEL (2013) is produced by MRB Productions, Pisces Rising Productions, Rooks Nest Entertainment, Producciones A Ciegas, Mott Street Pictures, and Votiv Films.  DVD distribution is being handled by Well Go USA Entertainment.  As for the technical specifications, this is one smartly shot character film with some very high quality sights and sounds.  If it&#8217;s special features you want, then you have a director&#8217;s interview, deleted scenes, the theatrical trailer, and perhaps the most painful and curiously inappropriate jazzortment of outtakes (less than a minute of them) to look forward to.(MILDLY) RECOMMENDED.  THE TRUTH ABOUT EMANUEL is an oddity.  It gets my award for the best misnamed film of the year mostly because there&#8217;s hardly any truth about Emanuel served up here &#8211; nothing in her life history has changed that I can detect &#8230; except maybe the development of some Mutant Age powers that gives her personal yet possibly inaccurate insight into the psychological deficiencies of others &#8230; and, even then, it isn&#8217;t as if she can do much about it.  And what should we call her?  DementiaGal?  That just doesn&#8217;t sound right, not with this whole &#8216;War on Women&#8217; frenzy currently afflicting society.In the interests of fairness, I&#8217;m pleased to disclose that the fine folks at Well Go USA Entertainment provided me with an advance DVD copy of THE TRUTH ABOUT EMANUEL by request for the expressed purposes of completing this review.",Post-partum Dementia,1395187200,"03 19, 2014"
"Suddenly this series has decided to put in more profanity and nasty talk.  I found this offensive and unnecessary.  Perhaps OK for some, but not for me.",Justified Critique,1390176000,"01 20, 2014"
"Two Lovers is a beautiful and complicated film about what the heart wants, and what the heart really needs. Joaquin Phoenix, Gwyneth Paltrow, and Vinessa Shaw all give powerful performances. Phoenix is the best actor of his generation, hope he comes to his senses and returns to acting in the future. I loved the writing and film score as well. Two Lovers shall leave wanting more. Enjoy!",Love?,1271203200,"04 14, 2010"
"I have always loved her ever since China Beach! This is an awesome show! Funny at times, sad and scary at times. It has it all! Great show!",best show out there,1365552000,"04 10, 2013"
"There were always some lingering questions about the quality of the water in the bottles and any thinking person has to wonder about all those plastic bottles going into the eco system, but this is the first time I was exposed to an organized, detailed look at the entire industry.This documentary explores how bottled water comes about as well as the packaging and the impact on the environment. Let me tell you, if half of this is true (and I suspect all of it is) there is absolutely nothing positive about bottled water. It's as though that industry gets something for free, gets it onto the market at an unbelievably low cost and sells it back to you at an unbelievably high profit. Then they brew you on the back end by fouling up the environment. Essentially, they are charging you big money (more than you're paying for gasoline) for an inferior grade of a product you can get for nearly free. Not to mention the added health risks involved from drinking from those plastic bottles.There are a few scenes where industry people are questioned on various matters and it even had me squirming. This is a horrible, horrible market in every aspect, and it is almost entirely unnecessary.I'm tapping out now. I'm going to get myself a stainless steel personal water bottle and grab my water from home. It's safer to drink, costs less and won't brew up the environment.",I'm Tapped Out,1282003200,"08 17, 2010"
"I think there has been other TV shows about what happens to civilization when power is lost. However, this may be the first to allude the loss of power to some kind of alien invasion. In any case, an interesting premise and one worthy of another look to see where we're heading here. Editorial comment: if this truly were the end of civilization, I think the first thing I would do would be to shoot the Irish guy. He definitely looks like the loose cannon in the bunch and the one most likely to get you hurt.",I Might Watch Another Episode,1395705600,"03 25, 2014"
I love the fact it introduces different art forms to children and allows for ctafts but i think it is a show older children  will enjoy(4&up)why it might lose the attention span of younger ones. I liked thw concept but i got bored wayching it.,has potential,1367020800,"04 27, 2013"
Love this show! the characters are great and work together especially Piper. It takes place in different countries and scenery is great. Can't wait for next season. If you love spy shows you will enjoy this one.,spooks,1401926400,"06 5, 2014"
This episode will make you cry.  I loved it.  I love the Bravermans.  I feel like they are a part of my family!!!,Tear jerker....sooo good!,1352073600,"11 5, 2012"
"This show had such promise & possibilities...UNTIL I watched it. It fell apart fast. It just fails on so many levels. Sex, drugs and Cljazzical music... hmmm.. how novel. Clean up the scripts, get rid of the gratuitous cussing and substitute find intelligent repartee (see Frazier for the template). I have sympathy for the cast that has to try to make something of this woeful script.",It could have been...,1391990400,"02 10, 2014"
This is an entertaining movie but certainly not a cljazzic. Aside from the fact that Pompeii was destroyed the balance of the story is fictional and a mediocre copy of the movie Gladiator.Kiefer Sutherland is not my favorite actor and he did another poor job in this film by overacting. I like the characters of the Celtic gladiator and the daughter of the leader of Pompeii.I rate the film as a 3 star for entertainment. Rent it and watch it but don't buy the DVD IMHO.,Pompeii covered in volcanic ash along with this film!,1404000000,"06 29, 2014"
"I forced myself to watch the entire episode. It made little sense and irritated me.Recycled actors. I've never been so uninterested in a Sharon Lawrence role, and I really like her.Not many special effects, considering it's a Syfy show. The closing credits had the most visual appeal.Too linear. Might have been more interesting had they used flashbacks. Also, the sets were bland and generic. You need more than some litter and smoke to portray a realistic apocalyptic mood.Still, I gave it 2 stars because I really have seen worse, I think.",Couldn't Stand It,1392076800,"02 11, 2014"
"I was expecting an action movie. It is and it isn't. There is a lot more story and less violence. It starts really slow. And it takes awhile to figure out exactly where the story is going. I liked both main characters. The female character is somewhat dull. But it fits the character. I would have preferred a different ending. But the ending is more realistic, perhaps, than my first choice.",Different,1380067200,"09 25, 2013"
The show is simply enjoyable to watch.  The writers have done a nice job of developing the characters each with distinctive traits that blend well together and the casting selections were well chosen. We like how it weaves the use of old school technology and. references to historical figures with futuristic fictional tech.  Kinda like running the starship enterprise from a cozy gadgety filled man caveish basement. It's a bit like Dr. Who in how it incorporates real history into fantastical plots.  It's not the history channel but it's not intended to be.  It's an enjoyable show with a comidic touch combined with scify drama that family members of all ages in our house enjoy watching.  The characters care about each other   like family.  It's not as clever as the Matt Smith episodes of Dr. Who but it's still good stuff.,"Fun way to visit history,  solid likeable characters",1388793600,"01 4, 2014"
"This is a long winded narration of the history of the monarchy.  although it provides alot factual information, there is little visual information to clue you in as to why the homes or areas being discussed are important.  If you're a history buff, this will be boring.  If you want to learn, you may wind up fast forwarding thru some of it.",Monarchy with David Starkey Season 1,1362700800,"03 8, 2013"
"Oh, NBC... Why don't you ever learn? Who in the world working there is permanently stuck in 1997? What makes them think ANYONE wants to watch crap like this??? Okay, sure. I'm sure some people out there loved the late 90's and its cliched sitcoms.Hell, CBS has an entire block of terrible, outdated sitcoms. ""Two and a Half Men,"" to ""The Big Bang Theory."" Crappy, terrible Chuck Lorre shows that only appeal to the lowest common denominator of ""comedy."" This is what NBC hopes to duplicate for some unknown reason, but they always fail miserably. Especially when they put out crap like this, ""Welcome to the Family,"" and ""Ironside."" Remember last year's ""The New Normal"" and ""Animal Practice?"" Or cringe worthy ""Whitney?""Okay, what can I say about this show? It IS cringe worthy, it's lame, it's cheap, it's cliche, it's predictable, it's horribly pandering (to middle cljazz liberals, the LGBT community, etc.), and it just basically sucks.There are only two other reviews on this show at the time of writing this. If I can save one person from watching crap like this, it'll be worth it.Maybe if you're over 45 and long for the cheesy sitcoms of the mid to late 90's, you'll enjoy this. That aside, its still a terrible show.Then again, what isn't on NBC, nowadays?","Horrible, horrible, horrible",1382486400,"10 23, 2013"
"Having scenes of sex or nakedness might draw some people to watch but I need not to feel bore watching actors performing their characters lives, that one of the reasons I don't watch HBO's Girls. It has its moment of having a few laughs but still everything seem sort of dry and didn't make me feel like if Amazon pick it up they''ll get better, I'm pretty much done after this pilot but hey I might change my if future clips of the show peek my interest of giving it another chance.",The pilot review,1392422400,"02 15, 2014"
