reviewText,summary,unixReviewTime,reviewTime,rating,label
I was surprised to find out this show is actually on NBC. It is more like from a cable network.I love the show!,Great Show,1395705600,"03 25, 2014",4,1
"This was a very engaging pilot and is seems to be Slings & Arrows for the symphony. The characters were believable and story was solid. The only issue I had was that it was clear there were actors faking playing their instruments. While I could see past that, I could see where musicians would cry foul. If you are investing this much money in a program and striving for excellence, it should be as authentic as possible. Follow the example of Treme and really ensure you either employ actors who play or employ musicians that can act. Faking it will only cheapen your product.",Very well produced program that needs some help in the music department,1392768000,"02 19, 2014",4,1
"Lots of history in this first series depicting the lives of two Soviet era spies living and spying for Russia while living in the US posing as regular citizens.  Catchy story line, well acted suspenseful at times keeping the viewer engaged throughout. Well formulated plot line and neatly crafted dialogue.",Interesting period piece spy story,1392681600,"02 18, 2014",4,1
I love watching this show.  The acting is good and the mysteries are always interesting.  For some reason Amazon has discontinued seasons 1 11.  I had only made it up to season 9 before that happened.  I had to skip to what was still available which is seasons 12 and 13.,Great.,1368835200,"05 18, 2013",5,1
"It was a good show to end the tenue of Matt Smith, while tiding up some loose ends on regeneration cycles.  The plot was quick, witty and fast moving; but true to Dr. Who stories. I enjoyed it immensely. Give it a try.",Fond Goodbye,1388880000,"01 5, 2014",5,1
"H2O reminded me of Flipper and Gidget from the 1960s.  The plots ran to sibling rivalry, fights with each other and boyfriends, misunderstandings, embarrjazzments, and the joy of swimming and playing in the water. Must see for teens who like fantasy, The scenery is beautiful.  The costumes superb.  Some of the special effects are silly, but easily overlooked.","Uplifting, Happy, Wholesome Entertainment for Teens and Pre-Teens.",1400716800,"05 22, 2014",5,1
"I was disappointed in Season 3   too much mob _ _ _ _, But here we are kicking and playing with the U.S. Marshals again.  Next to Raylan Givens, Boyd Crowder is great fun ! ! ! Southern KY is always a rockin'.  I am excited when I see characters from &#34;Deadwood&#34; pop up on Justified.  Jim Beaver is one of TVs enjoyable characters from Deadwood to Supernatural and on to bits in Dexter, The Middle, The Mentalist and he was really great in Harper's Island   Very cool actor !  Timothy Olyphant had a singular role in Deadwood.  I just didn't think he would be able to pull out another strong character in Justified.  But he has done very well and he makes this show a number one hit.  . . .Who else do I remember that he brought back into Justified from Deadwood  oh yeah the preacher from Deadwood had a bit role at some point in Justified . . . and Gerald McRaney (he got shot in Justified, astonishing I know.) . . . . Maybe that is all   I can't remember any others but it is possible there are more.  Regardless   Justified has a heavy hitting cast !  Season 4 has FIVE STARS for me.",Timothy Olyphant comes back Swinging !,1371686400,"06 20, 2013",5,1
"Smart, super smart. Historical, great acting, great drama. All kinds of action. I was never bored or confused by the plot of the actors. The leads are all top drawer. I am hooked. I cannot wait for the next series to come. There better be another!!!",The Hour is positively amazing,1394064000,"03 6, 2014",5,1
"In my opinion I have the best opinions in this world.In my opinion I know value and quality when I see it.This interview was easily the best interview of any human ever recorded.  Not because of the questions (which were good), but because Steve Jobs shows us in under 80 minutes why he was the most inspired man of the computer age.I will be hard pressed to ever give 5 stars again because for any movie or book on Amazon to measure up to this it would be a masterpiece.Anything less than 5 stars for this show is ignorant, being the 12th reviewer I plan on returning to see if anyone has a beef with this and why, because to me it was awesome and very very inspiring.",My first and best review,1355702400,"12 17, 2012",5,1
I just rated  Season 2 as Excellent.  This is a well told story documenting the living conditions in London during the 1700's and very well told.  I definitely enjoyed its authenticity.,Excellent Viewing,1386892800,"12 13, 2013",4,1
"Betas if fun to watch.  The cast is young and energetic, and the writing is smart, sardonic and hip.  I enjoy it but I am not convinced it will sustain.  The main idea seems to be a little thin, but we'll see.",Internet startup goes for laughs...,1387497600,"12 20, 2013",4,1
People at work were talking about this show and so I thought I would check it out. I laugh during every episode.I highly recommend.,This family cracks me up,1381708800,"10 14, 2013",5,1
the humor keeps me laughing and gives a feel of deadwood us marshal style. Olyphant and Gogginsplay well off each other.,funny,1389657600,"01 14, 2014",5,1
